hotspot_id,latitude_clean,longitude_clean,coordinate_status,sector,location,cause,cause_category,mcg_status,low_lying_flag,blockage_silt_flag,missing_drain_flag,road_level_flag,pumping_flag,external_inflow_flag,source
H011,28.512149,77.067662,valid,Sector 21,Near radha krishna mandir h.no- 335 sector 21 — Near radha krishna mandir h.no-335 sector 21,Water logging occurs due to blockage of GMDA storm water drain.,drain_blockage_or_silt,unspecified,0,1,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H012,28.50193,77.061334,valid,Sector 21,Near Delhi gate pocket C sector 21,Water logging occurs due to blockage of GMDA storm water drain.,drain_blockage_or_silt,unspecified,0,1,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H013,28.508526,77.066475,valid,Sector 22,In fornt of community centre sector 22 B,Water logging occurs due to blockage of GMDA storm water drain.,drain_blockage_or_silt,unspecified,0,1,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H014,28.504993,77.03767,valid,Sector 2,A block Plam vihar near Macdy,Water logging due to low laying area.,low_lying_area,unspecified,1,0,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H015,28.496283,77.019745,valid,Sector 2,Palam Vihar C 2 Block,"Water logging due to low laying area,",low_lying_area,unspecified,1,0,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H016,28.511153,77.031295,valid,Sector 2,Palam Vihar D Block near Mother dairy,"Water logging due to low laying area,",low_lying_area,unspecified,1,0,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H017,28.510931,77.04226,valid,Sector 23,Sec 23 near Ansal Plaza,"Water logging due to low laying area,",low_lying_area,unspecified,1,0,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H018,28.31278,77.01087,valid,Sector 110,"Bajhgera Firni — 28.31278 ,77.01087",Low lying area and silt in drains,drain_blockage_or_silt,unspecified,1,1,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H019,28.471652,76.955926,valid,Sector 102,"Dhankot Canal road — 28.471652,76.955926",Low lying area and silt in drains,drain_blockage_or_silt,unspecified,1,1,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H020,28.459073,76.980922,valid,Sector 9B,"Basai Village, near Lakhpat Kataria house — 28.459073,76.9809216",Low lying area,low_lying_area,unspecified,1,0,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H021,28.468288,76.985728,valid,Sector 9B,"Basai Village near Community Center — 28.4682883,76.9857277",Low lying area and silt in drains,drain_blockage_or_silt,unspecified,1,1,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H022,28.478685,76.992743,valid,Sector 104,"Dhanwapur Village near Bikaner Chowk — 28.478685,76.992743",Low lying area,low_lying_area,unspecified,1,0,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H023,28.47062,76.995575,valid,Sector 9,"Infront of Khusbu Apratment — 28.4706201,76.9955748",low lying area and silt in drains,drain_blockage_or_silt,unspecified,1,1,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H024,28.469495,76.995089,valid,Sector 9A,"Sector-9A, Community Centre road — 28.4694946 76.995089",low lying area and silt in drains,drain_blockage_or_silt,unspecified,1,1,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H025,28.469038,76.995198,valid,Sector 9A,Market road Sector-9A — 28.4690379 76.9951976,low lying area,low_lying_area,unspecified,1,0,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H026,28.468688,76.995759,valid,Sector 9A,Corner of Sidheshwar School — 28.4686879 76.9957591,low lying area,low_lying_area,unspecified,1,0,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H027,28.446052,76.991622,valid,Sector 10,"Side road (Main Entry From Basai Road) of GMDA Bus Stand, Sec-10 — GMDA Bus stand Sector-10",Water logging due to silt in drain,drain_blockage_or_silt,unspecified,0,1,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H028,28.451613,76.995829,valid,Sector 10,"In front of Alpine School, Sec-10 — Sector-10",Water logging due to silt in drain,drain_blockage_or_silt,unspecified,0,1,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H029,28.452512,77.004263,valid,Sector 10,In front of HUDA Market Sec-10 (Near Blue Bells & Euro International School) — Huda Market Sector-10,Water logging due to silt in drain,drain_blockage_or_silt,unspecified,0,1,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H030,28.43887,77.005661,valid,Sector 10,Sector 10 A Market near Gate No-7 — Near DAV School,Water logging due to silt in drain,drain_blockage_or_silt,unspecified,0,1,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H031,28.444206,76.99975,valid,Sector 10,Sector 10 A Gate No-5 — Gate no.05,Water logging due to silt in drain,drain_blockage_or_silt,unspecified,0,1,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H032,28.449098,77.006008,valid,Sector 10,Sector 10 A infront Gandhi Nagar Booster — Gandhi Nagar Boosting station,Water logging due to silt in drain,drain_blockage_or_silt,unspecified,0,1,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H033,28.447337,77.025965,valid,Sector 33,Hans Enclave — Near Jain Mandir,Low Lying area & Drain Block,drain_blockage_or_silt,unspecified,1,1,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H034,28.439266,77.018624,valid,Sector 33,Govt primary School Naharpur Rupa — Near Shiv Mandir,Low Lying area,low_lying_area,unspecified,1,0,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H035,28.44302,77.018813,valid,Sector 33,Naharpur Rupa Main entry — Near Krishan Dharam Kanta,Low Lying area,low_lying_area,unspecified,1,0,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H036,28.430144,77.052801,valid,Sector 47,Sector 47 Near DPS — Near Community centre sector 47,Drainage block,drain_blockage_or_silt,unspecified,0,1,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H037,28.43708,77.035729,valid,Sector 38,"Back side Govt. School, Islampur",Water logging due to low laying area.,low_lying_area,unspecified,1,0,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H038,28.43807,77.052353,valid,Sector 39,"Near H. no. 559, Sec-39, Bakhtawar Chowk",Water logging due to low laying area.,low_lying_area,unspecified,1,0,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H039,28.440466,77.054377,valid,Sector 39,Sec 39 Pocket D near main gate,Water logging due to low laying area.,low_lying_area,unspecified,1,0,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H040,28.446411,77.055261,valid,Sector 39,Sec 39 E Pocket back side cyber park,Water logging due to low laying area.,low_lying_area,unspecified,1,0,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H041,,,invalid_or_missing,Sector 40,South city near H. no. 42 and 77,Water logging due to low laying area.,low_lying_area,unspecified,1,0,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H042,28.454574,77.042674,valid,Sector 15 part II,Sector 15 part II along citizen park,Water logging due to low laying area.,low_lying_area,unspecified,1,0,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H043,28.460984,77.042014,valid,Sector 15 Part -II,"Bandh road, specifically near H no 1094 Sec 15 Part -II",Water logging due to low laying area.,low_lying_area,unspecified,1,0,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H044,28.453822,77.045449,valid,Sector 31,Jubli park sector 31,water occurs due to low laying area in green belt of NH-8 and adjoining area.,low_lying_area,unspecified,1,0,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H045,28.464072,77.048578,valid,Sector 15 part II,Sector 15 part II market road towards skoda showroom,Water logging due to low laying area.,low_lying_area,unspecified,1,0,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H046,28.446716,77.055232,valid,Sector 40,Sector 40 house no 1114,Water logging due to low laying area.,low_lying_area,unspecified,1,0,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H047,28.451676,77.03481,valid,Sector 30,"Near House of Smt. Kamla, Retd. IAS",Water logging due to low laying area.,low_lying_area,unspecified,1,0,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H048,,,invalid_or_missing,Sector 57,"Soshant Lok Phase 3 — A, D & B1 Block",Low Lying area,low_lying_area,unspecified,1,0,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H049,28.434887,77.064065,valid,Sector 46,"Sector 46 — Near Amethi School, H No. 3204",Low Lying area,low_lying_area,unspecified,1,0,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H050,28.417193,77.074298,valid,Sector 57,Sector 57 — Near Tigra Village,Low Lying area,low_lying_area,unspecified,1,0,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H051,28.4321,77.064471,valid,Sector 51,Sector 51 — Near H No. 930,Low Lying area,low_lying_area,unspecified,1,0,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H052,28.41879,77.4498,valid,Sector 47,South City A Block,Low Lying area,low_lying_area,unspecified,1,0,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H053,28.4197,77.48418,valid,Sector 47,South City A1 Block,Low Lying area,low_lying_area,unspecified,1,0,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H054,28.4197,77.48418,valid,Sector 47,South City C Block,Low Lying area,low_lying_area,unspecified,1,0,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H055,28.408213,77.057529,valid,Sector 50,Rosewood City C Block,Low Lying area,low_lying_area,unspecified,1,0,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H056,28.412003,77.058406,valid,Sector 50,Rosewood City D Block,Low Lying area,low_lying_area,unspecified,1,0,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H057,28.400554,77.05495,valid,Sector 65,M R Land Sec 65,Low Lying area,low_lying_area,unspecified,1,0,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H058,28.376033,77.07395,valid,Sector 68,Dhumaspur Village — Near By Jail Road,Low Lying area,low_lying_area,unspecified,1,0,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H059,28.377364,77.074752,valid,Sector 68,Dhumaspur Village — Near Water supply,Low Lying area,low_lying_area,unspecified,1,0,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H060,28.393465,77.066523,valid,Sector 65,Maidawas Village — Near Sachin Tyagi office to Shani Mandir,Drainage block,drain_blockage_or_silt,unspecified,0,1,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H061,28.406628,77.079962,valid,Sector 62,Umarpur Nangli Nial School — Near Bhumiya Mandir,No sewer line and drainage,other,unspecified,0,0,1,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H062,28.410535,77.043733,valid,Sector 49,"Uppal Southend S,W Block — Block S,W",Low Lying area,low_lying_area,unspecified,1,0,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H063,28.411234,77.039786,valid,Sector 49,Housing Board Uppal southend — Housing Board,Low Lying area,low_lying_area,unspecified,1,0,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H064,28.411269,77.035591,valid,Sector 48,Vipul World — B.C.D Block,Low Lying area,low_lying_area,unspecified,1,0,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H065,28.409884,77.031686,valid,Sector 48,Fazilpur — Hanuman Mandir,Low Lying area,low_lying_area,unspecified,1,0,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H066,28.414523,77.009124,valid,Sector 75A,Begampur khatola — Government school and Hanuman Mandir,Low Lying area,low_lying_area,unspecified,1,0,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H067,28.428727,77.005692,valid,Sector 59,Behrampur — Tata motors company and opposite Axis Bank ATM bahrampur road,Low Lying area,low_lying_area,unspecified,1,0,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H068,28.422028,77.01369,valid,Sector 59,Behrampur — Dharmi ka theka bahrampur road,Low Lying area,low_lying_area,unspecified,1,0,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H069,28.400506,77.045374,valid,Sector 48,Vatika Chowk — behind Shamshan ghat,Low Lying area,low_lying_area,unspecified,1,0,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H070,28.390209,77.043861,valid,Sector 67,Khota Colony — Behind Gandhi Colony Badshahpur,Low Lying area,low_lying_area,unspecified,1,0,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H071,28.398156,77.054534,valid,Sector 65,Tyagiwada — Near Community centre,Low Lying area,low_lying_area,unspecified,1,0,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H072,28.388121,77.052945,valid,Sector 67,RR Colony — Behind Girl School,Low Lying area,low_lying_area,unspecified,1,0,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H073,28.361118,77.078915,valid,Sector 70,Maruti Kunj Main Gate,This is newly approved as well as this is low lying. Road surface water accumulates to this point.,low_lying_area,unspecified,1,0,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H074,28.354326,77.062405,valid,Sector 69,Saneh Vihar — Front of Dadi Sati Mandir,"This is newly approved as well The area of colony is uneven, due to which, rain water accumulates at diffferent locations.",other,unspecified,0,0,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H075,28.348545,77.065527,valid,Sector 70,Village Bhondsi near Govt School — Near Govt School,Low lying area. The area is newly approved and there is no provision of storm water drainage and sewerage line,low_lying_area,unspecified,1,0,1,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H076,,,invalid_or_missing,Sector 58,"Near Khaliya wala Kuan, Village- Bandhwari",Low lying area,low_lying_area,unspecified,1,0,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H077,28.42204,77.1096,valid,Sector 56,Village Ghata Under Pass,Low lying area,low_lying_area,unspecified,1,0,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H078,28.429778,77.144576,valid,Sector 59,Teri Gram Faridabad road Village Baliyawas and Mujjafar Ali Farm house New Gwal Pahari,Low lying area,low_lying_area,unspecified,1,0,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H080,28.420036,77.094937,valid,Sector 55,E Block (Near Creek) Sec-55/56 Road — E Block (Near Creek,Low lying area,low_lying_area,unspecified,1,0,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H081,28.393222,77.096659,valid,Sector 65,CRPF Camp road Kadarpur — Main CRPF Camp Road,Low lying area,low_lying_area,unspecified,1,0,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H082,28.393006,77.097278,valid,Sector 66,Kadarpur Mod in front of Baraat Ghar — Front of Baraat Ghar,Low lying area,low_lying_area,unspecified,1,0,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H083,28.39301,77.096738,valid,Sector 66,Hosiyar Singh Advocate house at Village Behrampur — Hosiyar Singh Advocate house,Low lying area,low_lying_area,unspecified,1,0,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H084,28.405003,77.095611,valid,Sector 62,Main Road Ullawas,Low lying area,low_lying_area,unspecified,1,0,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H085,,,invalid_or_missing,Sector 52,Ardee city gate no.3,Low lying area and all the rain water runoff on the internal society roads and accumulated to this point,external_runoff,unspecified,1,0,0,0,0,1,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H086,28.44183,77.82482,valid,Sector 56,"H no.1241 to tempo stand, wazirabad","The surface of this road is uneven due to which, water accumulated at different patches",other,unspecified,0,0,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H087,28.439479,77.088836,valid,Sector 56,Wazirabad Dhani chowk — Front of Community Center,"GMDA master line backflows during rain. Once the drain start taking water, water logging cleared from this point",other,unspecified,0,0,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H088,28.430044,77.081063,valid,Sector 52,"Jheel chowk, wazirabad — Sec.-57 Main Entry",Low lying area and water runoff of the village accumulates at this point.,external_runoff,unspecified,1,0,0,0,0,1,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H089,28.434909,77.105032,valid,Sector 54,Suncity main entrance and B- Block — Near Sec.-54 Metro Station,Low lying area and water runoff of the society accumulates at this point.,external_runoff,unspecified,1,0,0,0,0,1,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H090,28.420603,77.074107,valid,Sector 57 part 1,Sector 57 part 1 — Lane of H.No. 956,Storm drainage cleaning required,other,unspecified,0,1,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H091,28.416382,77.085117,valid,Sector 56,"F & G block, SL2, — Entrance of Bikanerwala",Storm drainage cleaning required,other,unspecified,0,1,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H092,28.468223,77.079777,valid,Sector 24,"Near Camera Museum, Village- Chakkarpur — Camera Museum",Water comes from chakkarpur village,external_runoff,unspecified,0,0,0,0,0,1,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H093,28.47669,77.077308,valid,Sector 43,"A-1065 lane, A-Block, Sushant Lok- 1 — H.No.-1065",Water comes from chakkarpur village,external_runoff,unspecified,0,0,0,0,0,1,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H094,28.469133,77.079653,valid,Sector 43,"A-206 lane, A-Block, sushant Lok-1 — H.No.-206",Low lying area,low_lying_area,unspecified,1,0,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H095,28.468099,77.088272,valid,Sector 28,"Sector-28 — Opposite Sheeba Apartment GH-I sector 28 28.4680992, 77.0882716",GMDA Chakkarpur Bandh overflow,other,unspecified,0,0,0,0,0,1,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H097,28.47408,77.090436,valid,Sector 26,"Chakarpur Mandir — Near DLF-I 28.4740801, 77.0904361",Low lying area,low_lying_area,unspecified,1,0,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H098,28.45418,77.081424,valid,Sector 43,"Gulab Park road near H. No. 336 sushant lok, — H.no 336 28.45418, 77.081424",Low lying area,low_lying_area,unspecified,1,0,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H099,28.447259,77.07237,valid,Sector 45,"Near govt school Kanhai — Near tularam market 28.447259, 77.07237",Low lying area,low_lying_area,unspecified,1,0,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H100,28.447367,77.064886,valid,Sector 45,"Near H. No. 1637 Sector-45, — H.no 1637 28.447367, 77.064886",Low lying area,low_lying_area,unspecified,1,0,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H101,28.458293,77.060052,valid,Sector 45,"Silokhera village road — Entry road Silokhera 28.458293, 77.060052",Overflow of main GMDA line,other,unspecified,0,0,0,0,0,1,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H102,28.459055,77.061171,valid,Sector 41,"C-Block near H. No. C-111 South City-I — H.no C-1111 28.4590552, 77.0611712",Low lying area,low_lying_area,unspecified,1,0,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H103,28.457384,77.063147,valid,Sector 41,"South City mian market road — Main market 28.457384198, 77.06314722",Low lying area,low_lying_area,unspecified,1,0,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H104,28.47624,77.05405,valid,Sector 17A,Sec 17A — Sec 17 a behind Naveen Goyal House no 1832,De silting of drains and proper contivity with Master drain,drain_blockage_or_silt,unspecified,0,1,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H105,28.484807,77.061897,valid,Sector 17B,Sec 17B — Near house no 856 sec 17 B,Telecom cables are crossing the drainage line and producing the hurdle in de watering,other,unspecified,0,0,0,0,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
H106,28.471552,77.05076,valid,Sector 16,IDC Sec 16 — Near GIA house,topographoical road level is low from main road and non functional of drainage system,road_level_mismatch,unspecified,0,0,0,1,0,0,MCG Monsoon Preparedness - Waterlogging Hotspot Identification and Point of Contacts Assigned by the MCG (2025)
